strategies,memory,threshold,distribution,choice,crosses,std
59,2,6000.0,uniform,mse,True,4605.427662725496
74,2,6000.0,uniform,mse,True,4860.361592515519
71,2,6000.0,uniform,mse,True,4948.716593053935
59,2,6000.0,uniform,mse,True,4948.22180800583
74,2,6000.0,uniform,mse,True,4948.716593053935
74,2,6000.0,uniform,mse,True,4517.539514526256
71,2,6000.0,uniform,mse,True,4715.70222987344
59,2,6000.0,uniform,mse,True,4633.370422513424
77,2,6000.0,uniform,mse,True,4659.3071042117435
77,2,6000.0,uniform,mse,True,4848.0504797851945
89,2,6000.0,uniform,mse,True,4945.092194926859
32,5,6000.0,uniform,mse,False,3008.747247609875
77,2,6000.0,uniform,mse,True,4834.530886239119
89,2,6000.0,uniform,mse,True,4517.539514526256
77,2,6000.0,uniform,mse,True,4948.716593053935
89,2,6000.0,uniform,mse,True,4891.6787558056185
77,2,6000.0,uniform,mse,True,4517.539514526256
89,2,6000.0,uniform,mse,True,4948.716593053935
80,2,6000.0,uniform,mse,True,4494.5716247491255
89,2,6000.0,uniform,mse,True,4517.539514526256
17,5,6000.0,uniform,mse,False,3409.929324135619
2,5,6000.0,uniform,mse,False,1.0
80,2,6000.0,uniform,mse,True,4316.445499482184
92,2,6000.0,uniform,mse,True,4673.888660406508
80,2,6000.0,uniform,mse,True,4366.700019605708
92,2,6000.0,uniform,mse,True,4812.733617813587
80,2,6000.0,uniform,mse,True,4569.192442476996
92,2,6000.0,uniform,mse,True,4861.975384553073
80,2,6000.0,uniform,mse,True,4517.539514526256
92,2,6000.0,uniform,mse,True,4948.716593053935
2,5,6000.0,uniform,mse,False,286.8140932724941
83,2,6000.0,uniform,mse,True,4948.716593053935
62,5,6000.0,uniform,mse,False,4387.105090877127
47,5,6000.0,uniform,mse,False,3342.7127142487134
92,2,6000.0,uniform,mse,True,4517.539514526256
83,2,6000.0,uniform,mse,True,4377.356857879477
83,2,6000.0,uniform,mse,True,4946.409078868245
95,2,6000.0,uniform,mse,True,4601.785235554422
83,2,6000.0,uniform,mse,True,4948.716593053935
95,2,6000.0,uniform,mse,True,4321.8482428672805
32,5,6000.0,uniform,mse,False,4071.2712031993156
83,2,6000.0,uniform,mse,True,4844.361980694672
95,2,6000.0,uniform,mse,True,4372.1926643135885
86,2,6000.0,uniform,mse,True,4228.558307434699
95,2,6000.0,uniform,mse,True,4548.487919536191
86,2,6000.0,uniform,mse,True,4517.539514526256
95,2,6000.0,uniform,mse,True,4517.539514526256
17,5,6000.0,uniform,mse,False,2974.312424813507
86,2,6000.0,uniform,mse,True,4547.231245494339
98,2,6000.0,uniform,mse,True,4948.716593053935
86,2,6000.0,uniform,mse,True,4948.716593053935
98,2,6000.0,uniform,mse,True,4371.370811943343
98,2,6000.0,uniform,mse,True,4948.22180800583
86,2,6000.0,uniform,mse,True,4652.042301655144
98,2,6000.0,uniform,mse,True,4948.716593053935
5,5,6000.0,uniform,mse,False,52.36715000837834
98,2,6000.0,uniform,mse,True,4736.887125411465
101,2,6000.0,uniform,mse,True,4235.8984584146965
47,5,6000.0,uniform,mse,False,4316.368075871194
62,5,6000.0,uniform,mse,False,3499.258785571596
101,2,6000.0,uniform,mse,True,4517.539514526256
101,2,6000.0,uniform,mse,True,4862.650503415534
32,5,6000.0,uniform,mse,False,3907.887303595128
101,2,6000.0,uniform,mse,True,4948.716593053935
101,2,6000.0,uniform,mse,True,4685.666591822579
17,5,6000.0,uniform,mse,False,2535.2459431779
5,5,6000.0,uniform,mse,False,56.95586010236348
74,5,6000.0,uniform,mse,False,3030.592841277099
47,5,6000.0,uniform,mse,False,4324.81632539464
62,5,6000.0,uniform,mse,False,3147.3225240511974
32,5,6000.0,uniform,mse,False,2883.041867541989
17,5,6000.0,uniform,mse,False,2489.208123078502
89,5,6000.0,uniform,mse,False,3867.8193533824715
5,5,6000.0,uniform,mse,False,123.58353450197158
74,5,6000.0,uniform,mse,False,4521.084310472434
47,5,6000.0,uniform,mse,False,3173.4411218108335
62,5,6000.0,uniform,mse,False,3646.3236921041444
32,5,6000.0,uniform,mse,False,3384.4903578530107
20,5,6000.0,uniform,mse,False,3534.5167731388688
89,5,6000.0,uniform,mse,False,4585.802565484039
5,5,6000.0,uniform,mse,False,67.54459563873337
74,5,6000.0,uniform,mse,False,4394.1585376952435
47,5,6000.0,uniform,mse,False,3258.769448733678
62,5,6000.0,uniform,mse,False,2975.240819093473
35,5,6000.0,uniform,mse,False,3150.702077251989
20,5,6000.0,uniform,mse,False,2923.7718015604432
5,5,6000.0,uniform,mse,False,46.49354793947221
89,5,6000.0,uniform,mse,False,4582.063967253185
74,5,6000.0,uniform,mse,False,4498.575483905988
50,5,6000.0,uniform,mse,False,4290.713350667928
65,5,6000.0,uniform,mse,False,3469.4567021941634
20,5,6000.0,uniform,mse,False,2719.6312370613778
35,5,6000.0,uniform,mse,False,3463.6585801721276
8,5,6000.0,uniform,mse,False,1187.6120787529906
89,5,6000.0,uniform,mse,False,4019.958299087193
74,5,6000.0,uniform,mse,False,3864.9732460134833
20,5,6000.0,uniform,mse,False,3293.08712572261
50,5,6000.0,uniform,mse,False,3696.545758623854
65,5,6000.0,uniform,mse,False,4477.64058387897
35,5,6000.0,uniform,mse,False,3182.171543081862
8,5,6000.0,uniform,mse,False,1159.0862131869226
89,5,6000.0,uniform,mse,False,3629.962772756767
77,5,6000.0,uniform,mse,False,3070.263805994527
20,5,6000.0,uniform,mse,False,3511.6568315255404
50,5,6000.0,uniform,mse,False,3236.4777521249857
65,5,6000.0,uniform,mse,False,3568.021042763061
35,5,6000.0,uniform,mse,False,3211.016612601062
8,5,6000.0,uniform,mse,False,1025.6130695345103
92,5,6000.0,uniform,mse,False,4001.798449147583
23,5,6000.0,uniform,mse,False,2413.736615374594
77,5,6000.0,uniform,mse,False,4547.073737031323
8,5,6000.0,uniform,mse,False,1074.4834221150181
50,5,6000.0,uniform,mse,False,3278.2048395425204
35,5,6000.0,uniform,mse,False,3211.895957219038
65,5,6000.0,uniform,mse,False,4464.163364439075
92,5,6000.0,uniform,mse,False,4610.131827008855
23,5,6000.0,uniform,mse,False,2261.8173581436677
8,5,6000.0,uniform,mse,False,1283.9577681528315
77,5,6000.0,uniform,mse,False,4154.841672843864
50,5,6000.0,uniform,mse,False,3693.993506004037
38,5,6000.0,uniform,mse,False,3025.7960634517326
65,5,6000.0,uniform,mse,False,3930.5058109612305
23,5,6000.0,uniform,mse,False,2698.1412819939583
92,5,6000.0,uniform,mse,False,3309.034142827783
11,5,6000.0,uniform,mse,False,2353.0952338568877
77,5,6000.0,uniform,mse,False,3412.4514953915464
53,5,6000.0,uniform,mse,False,3321.555888495631
38,5,6000.0,uniform,mse,False,3388.5381947972787
68,5,6000.0,uniform,mse,False,4414.2591552830245
23,5,6000.0,uniform,mse,False,2494.3272296152327
11,5,6000.0,uniform,mse,False,2251.411829141883
92,5,6000.0,uniform,mse,False,3547.93299153183
77,5,6000.0,uniform,mse,False,4015.6472056693424
38,5,6000.0,uniform,mse,False,3525.6193521706223
53,5,6000.0,uniform,mse,False,4045.984181926568
68,5,6000.0,uniform,mse,False,3585.8253624514396
23,5,6000.0,uniform,mse,False,2965.931377763147
11,5,6000.0,uniform,mse,False,2429.7122566262865
92,5,6000.0,uniform,mse,False,3695.5069976932805
38,5,6000.0,uniform,mse,False,3399.0424390407366
80,5,6000.0,uniform,mse,False,3995.2324498582057
53,5,6000.0,uniform,mse,False,3698.7011134180607
68,5,6000.0,uniform,mse,False,4454.977417855224
26,5,6000.0,uniform,mse,False,3719.8928158752096
11,5,6000.0,uniform,mse,False,2343.706653060489
95,5,6000.0,uniform,mse,False,3545.1325165640847
38,5,6000.0,uniform,mse,False,4019.026301232676
80,5,6000.0,uniform,mse,False,3357.8448851011563
53,5,6000.0,uniform,mse,False,4352.471459986843
68,5,6000.0,uniform,mse,False,3425.002551181532
11,5,6000.0,uniform,mse,False,2508.2491978270423
26,5,6000.0,uniform,mse,False,3908.0400358235843
41,5,6000.0,uniform,mse,False,4228.680716062635
95,5,6000.0,uniform,mse,False,4602.994278032506
53,5,6000.0,uniform,mse,False,3333.202453857251
80,5,6000.0,uniform,mse,False,4552.905903749824
68,5,6000.0,uniform,mse,False,3274.9063427218803
14,5,6000.0,uniform,mse,False,3085.31974200406
26,5,6000.0,uniform,mse,False,3904.6523619395366
41,5,6000.0,uniform,mse,False,3547.281292764925
56,5,6000.0,uniform,mse,False,3454.5270840449352
95,5,6000.0,uniform,mse,False,4604.341400070155
80,5,6000.0,uniform,mse,False,4417.824578183248
71,5,6000.0,uniform,mse,False,4431.20202762185
14,5,6000.0,uniform,mse,False,2207.9401981032006
26,5,6000.0,uniform,mse,False,3864.7266306945953
41,5,6000.0,uniform,mse,False,4197.174163124518
56,5,6000.0,uniform,mse,False,3434.2877065848747
95,5,6000.0,uniform,mse,False,3954.2143110357583
80,5,6000.0,uniform,mse,False,4546.383875081382
71,5,6000.0,uniform,mse,False,4104.226601931234
14,5,6000.0,uniform,mse,False,2374.72524726546
26,5,6000.0,uniform,mse,False,2730.9088612401547
41,5,6000.0,uniform,mse,False,4179.989609030147
56,5,6000.0,uniform,mse,False,3719.208394322641
14,5,6000.0,uniform,mse,False,2662.3791642814513
83,5,6000.0,uniform,mse,False,3342.88970203924
95,5,6000.0,uniform,mse,False,4603.7839794673255
71,5,6000.0,uniform,mse,False,3525.960883277068
29,5,6000.0,uniform,mse,False,2307.340760355956
41,5,6000.0,uniform,mse,False,3460.709519390496
14,5,6000.0,uniform,mse,False,2997.7816929189494
56,5,6000.0,uniform,mse,False,4357.285727101219
83,5,6000.0,uniform,mse,False,4558.168331643754
29,5,6000.0,uniform,mse,False,3181.5038987246267
98,5,6000.0,uniform,mse,False,3726.1908679508083
71,5,6000.0,uniform,mse,False,4508.511334842134
2,8,6000.0,uniform,mse,False,37.23581072032674
44,5,6000.0,uniform,mse,False,3730.9415753131275
2,8,6000.0,uniform,mse,False,89.71283297276928
56,5,6000.0,uniform,mse,False,3238.3020503961643
29,5,6000.0,uniform,mse,False,3445.7706122723844
