strategies,memory,threshold,cf,sigma,std
18,10,6000.0,choice,0.625,1043.1649802310794
34,10,6000.0,mse,1.75,3.944225113970359
34,10,6000.0,mse,1.875,9.021915653432702
18,10,6000.0,choice,0.75,829.0953085568341
42,10,6000.0,mse,0.0,1851.635250332284
42,10,6000.0,mse,0.125,1724.714971589238
18,10,6000.0,choice,0.875,1159.7227268916126
42,10,6000.0,mse,0.25,1097.9096288177911
42,10,6000.0,mse,0.375,318.7047668910426
18,10,6000.0,choice,1.0,876.5608540658798
42,10,6000.0,mse,0.5,106.35228433064299
42,10,6000.0,mse,0.625,56.65962853531439
18,10,6000.0,choice,1.125,991.306261093108
42,10,6000.0,mse,0.75,24.37389470888147
42,10,6000.0,mse,0.875,35.12918736086207
18,10,6000.0,choice,1.25,788.6293743307465
42,10,6000.0,mse,1.0,22.630595443315475
42,10,6000.0,mse,1.125,11.822168236058513
18,10,6000.0,choice,1.375,830.7940644306016
42,10,6000.0,mse,1.25,9.423903310992928
42,10,6000.0,mse,1.375,7.209174660169611
18,10,6000.0,choice,1.5,782.2707493985015
42,10,6000.0,mse,1.5,5.450586926709306
42,10,6000.0,mse,1.625,8.304569276841345
18,10,6000.0,choice,1.625,802.7540893736207
42,10,6000.0,mse,1.75,6.327998012572228
18,10,6000.0,choice,1.75,611.6751661566223
42,10,6000.0,mse,1.875,5.60200173954958
50,10,6000.0,mse,0.0,1496.6852905932376
18,10,6000.0,choice,1.875,716.8969611149832
50,10,6000.0,mse,0.125,1289.5201014179602
50,10,6000.0,mse,0.25,899.6215926474484
26,10,6000.0,choice,0.0,2138.6445211045707
50,10,6000.0,mse,0.375,685.407429824303
50,10,6000.0,mse,0.5,291.4697505270723
26,10,6000.0,choice,0.125,2396.942531253019
50,10,6000.0,mse,0.625,219.67050421351928
50,10,6000.0,mse,0.75,30.964996653864755
26,10,6000.0,choice,0.25,2115.130959546753
50,10,6000.0,mse,0.875,26.006131403465957
50,10,6000.0,mse,1.0,20.66316765486393
26,10,6000.0,choice,0.375,1977.3328364335744
50,10,6000.0,mse,1.125,10.430613468708946
50,10,6000.0,mse,1.25,7.551376891550651
26,10,6000.0,choice,0.5,1475.8369674023197
50,10,6000.0,mse,1.375,11.96319860145551
50,10,6000.0,mse,1.5,12.525484180141072
26,10,6000.0,choice,0.625,1202.053500851022
50,10,6000.0,mse,1.625,7.270940689971617
50,10,6000.0,mse,1.75,8.492704569749387
26,10,6000.0,choice,0.75,1040.5181458683878
50,10,6000.0,mse,1.875,6.424799942532198
26,10,6000.0,choice,0.875,1029.8727533044985
26,10,6000.0,choice,1.0,835.0212362175537
26,10,6000.0,choice,1.125,1002.9940246229177
26,10,6000.0,choice,1.25,959.0207929818487
26,10,6000.0,choice,1.375,758.7686365894353
26,10,6000.0,choice,1.5,826.7567051264083
26,10,6000.0,choice,1.625,893.6087614297961
26,10,6000.0,choice,1.75,857.6786907996029
26,10,6000.0,choice,1.875,760.1576238253117
34,10,6000.0,choice,0.0,2299.5077889239305
34,10,6000.0,choice,0.125,2862.639924044849
34,10,6000.0,choice,0.25,1608.235505206971
34,10,6000.0,choice,0.375,1624.803919866065
34,10,6000.0,choice,0.5,1350.176453887437
34,10,6000.0,choice,0.625,1415.4603500959433
34,10,6000.0,choice,0.75,1182.2258605763086
34,10,6000.0,choice,0.875,1093.867616531044
34,10,6000.0,choice,1.0,1200.8959065523845
34,10,6000.0,choice,1.125,750.9790935287133
34,10,6000.0,choice,1.25,988.0655195048978
34,10,6000.0,choice,1.375,943.0403706906361
34,10,6000.0,choice,1.5,885.7724375420723
34,10,6000.0,choice,1.625,940.1905830409727
34,10,6000.0,choice,1.75,799.0000339943766
34,10,6000.0,choice,1.875,814.9035740944655
42,10,6000.0,choice,0.0,2427.3031260053035
42,10,6000.0,choice,0.125,2373.515414236911
42,10,6000.0,choice,0.25,2143.969854831307
42,10,6000.0,choice,0.375,1764.849207229768
42,10,6000.0,choice,0.5,1636.0459066679916
42,10,6000.0,choice,0.625,1147.2381284288963
42,10,6000.0,choice,0.75,812.3185956714615
42,10,6000.0,choice,0.875,1102.2028840697863
42,10,6000.0,choice,1.0,882.3170360300479
42,10,6000.0,choice,1.125,964.1798337662976
42,10,6000.0,choice,1.25,925.03038178043
42,10,6000.0,choice,1.375,1018.1042024617287
42,10,6000.0,choice,1.5,932.9014842355042
42,10,6000.0,choice,1.625,859.7869266319615
42,10,6000.0,choice,1.75,882.7824755871967
42,10,6000.0,choice,1.875,830.3955495415657
50,10,6000.0,choice,0.0,2237.257203451264
50,10,6000.0,choice,0.125,2321.102667193015
50,10,6000.0,choice,0.25,1833.6516561736105
50,10,6000.0,choice,0.375,1812.0926518185101
50,10,6000.0,choice,0.5,1600.7849695222585
50,10,6000.0,choice,0.625,1404.5336117251084
50,10,6000.0,choice,0.75,1156.9471642417398
50,10,6000.0,choice,0.875,1008.3599470980225
50,10,6000.0,choice,1.0,1030.6922150853832
50,10,6000.0,choice,1.125,1058.2622438862304
50,10,6000.0,choice,1.25,931.3731921851843
50,10,6000.0,choice,1.375,922.1331285416703
50,10,6000.0,choice,1.5,1061.279228277305
50,10,6000.0,choice,1.625,956.7535834277878
50,10,6000.0,choice,1.75,870.6510113441702
50,10,6000.0,choice,1.875,940.0774663039338
